ADRB1,36,36,36,36,0,36,36,0,36
ADRB2,35,35,35,35,0,35,35,0,35
ADRB2B,11,11,11,11,0,11,11,0,11
ADRB3,24,24,24,24,0,24,24,0,24
ADRB3A,3,3,3,3,0,3,3,0,3
ADRM1,19,19,19,19,0,19,19,0,19
ADSL,18,18,18,18,0,18,18,0,18
ADSS,19,19,19,19,0,19,19,0,19
ADSS1,26,26,26,26,0,26,26,0,26
ADSS2,17,17,17,17,0,17,17,0,17
ADSSL1,10,10,10,10,0,10,10,0,10
ADT-1,1,1,1,1,0,1,1,0,1
ADTRP,9,9,9,9,0,9,9,0,9
AEBP1,15,15,15,15,0,15,15,0,15
AEBP2,12,12,12,12,0,12,12,0,12
AEN,24,24,24,24,0,24,24,0,24
AF067063,1,1,1,1,0,1,1,0,1
AFAP1,19,19,19,19,0,19,19,0,19
AFAP1-AS1,9,9,9,9,0,9,9,0,9
